Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
309;C(309, 89, 91, 143);7;4.55195;151915732;927
309;C(309, 89, 93, 137);7;4.55195;151915732;927
309;C(309, 89, 99, 112);7;4.55195;151915732;927
309;C(309, 89, 121, 125);7;4.55195;151915732;927
309;C(309, 90, 109, 151);7;4.55195;151915732;927
309;C(309, 92, 94, 110);7;4.55195;151915732;927
309;C(309, 94, 126, 140);7;4.55195;151915732;927
309;C(309, 97, 129, 149);7;4.55195;151915732;927
309;C(309, 97, 136, 146);7;4.55195;151915732;927
309;C(309, 99, 110, 118);7;4.55195;151915732;927
309;C(309, 102, 125, 127);7;4.55195;151915732;927
309;C(309, 102, 131, 151);7;4.55195;151915732;927
309;C(309, 104, 114, 116);7;4.55195;151915732;927
309;C(309, 107, 124, 142);7;4.55195;151915732;927
309;C(309, 107, 147, 154);7;4.55195;151915732;927
309;C(309, 109, 130, 142);7;4.55195;151915732;927
309;C(309, 110, 115, 129);7;4.55195;151915732;927
309;C(309, 112, 134, 135);7;4.55195;151915732;927
309;C(309, 114, 139, 148);7;4.55195;151915732;927
309;C(309, 115, 118, 141);7;4.55195;151915732;927
309;C(309, 115, 128, 152);7;4.55195;151915732;927
310;C(310, 1, 46, 75);7;4.55663;153173945;930
310;C(310, 2, 27, 145);7;4.55663;153173945;930
310;C(310, 3, 85, 138);7;4.55663;153173945;930
310;C(310, 4, 101, 135);7;4.55663;153173945;930
310;C(310, 5, 29, 94);7;4.55663;153173945;930
310;C(310, 5, 32, 33);7;4.55663;153173945;930
310;C(310, 5, 91, 154);7;4.55663;153173945;930
310;C(310, 5, 92, 153);7;4.55663;153173945;930
310;C(310, 6, 81, 125);7;4.55663;153173945;930
310;C(310, 7, 12, 95);7;4.55663;153173945;930
310;C(310, 8, 47, 115);7;4.55663;153173945;930
310;C(310, 9, 55, 104);7;4.55663;153173945;930
310;C(310, 11, 105, 114);7;4.55663;153173945;930
310;C(310, 13, 22, 45);7;4.55663;153173945;930
